write_millis,ecu_millis,breakout_millis,gps_millis,imu_millis,accel_millis,analogx1_millis,analogx2_millis,analogx3_millis,thermo_millis,rpm,time,syncloss_count,syncloss_code,lat,lon,elev,unixtime,ground_speed,afr,fuelload,spark_advance,baro,map,mat,clnt_temp,tps,batt,oil_press,ltcl_timing,ve1,ve2,egt,maf,in_temp,ax,ay,az,imu_x,imu_y,imu_z,susp_pot_1_FL,susp_pot_2_FR,susp_pot_4_RL,susp_pot_3_RR,oil_temp,amb_air_temp,brake1,brake2,rad_in,rad_out,steering,thermo_1,thermo_2,thermo_3,thermo_4
3536,0,0,3151,3500,3500,3500,3500,3500,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165,0.208,-10.034,0.176,0,0.021,0,0,0.272706755604594,0.801663824665229,0.484,0,-625,-625,246.62963787804551,247.46478998708295,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3563,0,0,3151,3525,3525,3525,3525,3525,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021,-0.057,-10.077,-0.006,0.029,0.074,0,0,0.27740859621846636,0.800880184562917,0.471,0,-625,-625,245.65529375083509,246.76882989621845,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3595,0,0,3151,3541,3541,3525,3525,3525,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,-0.251,-9.941,0.142,0.01,0.027,0,0,0.27740859621846636,0.800880184562917,0.471,0,-625,-625,245.65529375083509,246.76882989621845,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3803,0,0,3151,3579,3579,3584,3584,3584,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-0.351,-9.747,-0.002,-0.019,-0.008,0,0,0.24841391243292046,0.800880184562917,0.408,0,-625,-625,247.74317402342876,248.57832613246626,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3834,0,0,3151,3788,3788,3792,3792,3792,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,-0.165,-9.826,0.029,0.129,0.108,0,0,0.2178519484427504,0.800880184562917,0.403,0,-625,-625,250.80539842323282,251.36216649592444,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3865,0,0,3151,3819,3819,3823,3823,3823,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165,-0.258,-9.869,0.057,0,-0.049,0,0,0.24136115151211193,0.800880184562917,0.439,0,-625,-625,249.55267025967663,249.97024631419532,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3903,0,0,3151,3849,3849,3854,3854,3854,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,-0.258,-9.854,0.057,-0.095,0.046,0,0,0.2405775114097999,0.800880184562917,0.454,0,-625,-625,248.71751815063914,249.13509420515788,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3934,0,0,3151,3881,3881,3870,3870,3870,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,-0.229,-9.768,-0.021,0.055,0.138,0,0,0.2523321129444807,0.800880184562917,0.443,0,-625,-625,248.02155805977458,249.13509420515788,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3965,0,0,3151,3920,3920,3923,3923,3923,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.086,-0.244,-9.876,-0.01,0.063,-0.057,0,0,0.23117383018205528,0.800880184562917,0.423,0,-625,-625,248.85671016881207,249.6918622778495,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3996,0,0,3151,3950,3950,3954,3954,3954,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,-0.179,-9.797,-0.068,0.038,0.091,0,0,0.23822659110286376,0.800880184562917,0.439,0,-625,-625,248.29994209612045,249.13509420515788,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4218,0,0,3151,3980,3980,3985,3985,3985,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107,-0.193,-9.797,-0.089,0.014,0.1,0,0,0.24684663222829634,0.800880184562917,0.441,0,-625,-625,247.46478998708295,248.71751815063914,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4256,0,0,3151,4203,4203,4207,4207,4207,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043,-0.186,-9.79,0.1,-0.057,0.104,0,0,0.22647198956818296,0.800880184562917,0.412,0,-625,-625,250.24863035054113,250.80539842323282,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4280,0,0,3151,4234,4234,4223,4223,4223,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.258,-9.897,-0.023,-0.017,-0.012,0,0,0.24684663222829634,0.800880184562917,0.429,0,-625,-625,248.85671016881207,249.6918622778495,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4311,0,0,3151,4234,4234,4223,4223,4223,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.258,-9.897,-0.023,-0.017,-0.012,0,0,0.24684663222829634,0.800880184562917,0.429,0,-625,-625,248.85671016881207,249.6918622778495,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4340,0,0,3151,4297,4297,4300,4300,4300,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043,-0.222,-9.775,0.025,-0.051,0.044,0,0,0.21628466823812628,0.800880184562917,0.404,0,-625,-625,251.2229744777515,251.64055053227025,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4369,0,0,3151,4327,4327,4329,4329,4329,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,-0.222,-9.732,-0.074,-0.063,-0.046,0,0,0.23665931089823966,0.800880184562917,0.427,0,-625,-625,249.83105429602244,250.38782236871407,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4398,0,0,3151,4356,4356,4358,4358,4358,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-0.229,-9.804,0.098,-0.012,0.1,0,0,0.24684663222829634,0.801663824665229,0.437,0,-625,-625,248.85671016881207,249.6918622778495,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4607,0,0,3151,4385,4385,4387,4387,4387,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035,-0.251,-9.761,0.055,0.021,-0.129,0,0,0.24998119263754456,0.8000965444606049,0.451,0,-625,-625,248.02155805977458,248.99590218698495,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4645,0,0,4497,4594,4594,4596,4596,4596,0,0,0,0,0,0,0,0,2020-08-02T00:00:03.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,-0.272,-9.818,-0.117,0.014,-0.098,0,0,0.22960654997743118,0.800880184562917,0.429,0,-625,-625,251.2229744777515,251.64055053227025,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4683,0,0,4497,4623,4623,4612,4612,4612,0,0,0,0,0,0,0,0,2020-08-02T00:00:03.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114,-0.294,-9.804,0.112,-0.053,0.004,0,0,0.23665931089823966,0.800880184562917,0.426,0,-625,-625,250.10943833236826,250.9445904414057,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
4710,0,0,4650,4661,4661,4650,4650,4650,0,0,0,0,0,0,0,0,2020-08-02T00:00:03.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,-0.373,-9.775,0.083,-0.044,-0.006,0,0,0.2178519484427504,0.800880184562917,0.38,0,-625,-625,251.64055053227025,252.4757026413077,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
